"14","Aroma, Face The Cut",,,,,"Östra Storgatan 34",NULL,"Nyköping",,"61134","SE","58.7552193","17.0182933",,,"1426586834","1426586834","3",NULL,,,,,,,
"15","Art By Us",,,"0510-66260",,"Järnvägsgatan 6",NULL,"Lidköping",,"53232","SE","58.5036845","13.1625784",,,"1426587478","1426587478","3",NULL,,,,,,,
"16","Art By Wixners",,,,,"Storgatan 64",NULL,"Umeå",,"90330","SE","63.822377","20.2764456",,,"1426587579","1426587579","3",NULL,,,,,,,
"17","Art Of Hair Örebro",,,,,"Fabriksgatan 13",NULL,"Örebro",,"70210","SE","59.2704048","15.2074809",,,"1426587718","1426587718","3",NULL,,,,,,,
"18","Atelje 3",,,"0413-10525",,"Västergatan 3",NULL,"Eslöv",,"24131","SE","55.8394849","13.3031861",,,"1426587810","1426587810","3",NULL,,,,,,,
"19","Atmosphair",,,,,"Vidargatan 8",NULL,"Stockholm",,"11327","SE","59.3439222","18.0476541",,,"1426588058","1426588058","3",NULL,,,,,,,
"20","Avestasalongen ",,,"0226-50643",,"Kungsgatan 22",NULL,"Avesta",,"77430","SE","60.1456966","16.1698822",,,"1426588265","1426588265","3",NULL,,,,,,,
"21","Bangerhead Studios",,,,,"Humlegårdsgatan 14",NULL,"Stockholm",,"11446","SE","59.3367221","18.0757563",,,"1426588448","1426588448","3",NULL,,,,,,,
"22","Barbershop",,,"033-108087",,"Västerlånggatan 35",NULL,"Borås",,"50330","SE","57.7199023","12.9396927",,,"1426588592","1426588592","3",NULL,,,,,,,
"23","Barristaan",,,"08-310434",,"Norrtullsgatan 28",NULL,"Stockholm",,"11345","SE","59.3483513","18.0457884",,,"1426588895","1426588895","3",NULL,,,,,,,
"24","Beauty & Beyond",,,,,"Eastmansvägen 19",NULL,"Stockholm",,"11361","SE","59.3396614","18.0451755",,,"1426589107","1426589107","3",NULL,,,,,,,
"25","Bellitudo",,,"031-7113353",,"Drottninggatan 59",NULL,"Göteborg",,"41107","SE","57.7062641","11.9712789",,,"1426589225","1426589225","3",NULL,,,,,,,
"26","Berits Damfrisering",,,,,"Köpmangatan 9",NULL,"Lindesberg",,"71130","SE","59.5931425","15.2276688",,,"1426589335","1426589335","3",NULL,,,,,,,
"27","Black & Pink ",,,"08-7923360",,"Biblioteksgatan 9",NULL,"Täby",,"18370","SE","59.335538","18.072509",,,"1426589490","1426589490","3",NULL,,,,,,,
"28","Blanc Hårspa",,,"060-150407",,"Sidsjövägen 128",NULL,"Sundsvall",,"85357","SE","62.3722039","17.2665729",,,"1426589620","1426589620","3",NULL,,,,,,,
"29","Ikon",,,,,"Tingvalla 1B",NULL,"Karlstad",,"65224","SE","59.3802564","13.507532",,,"1426590067","1426590067","3",NULL,,,,,,,
"30","Blå Salong ",,,"0451-81818",,"Andra Avenyn 3",NULL,"Hässleholm",,"28131","SE","56.149342","13.779071",,,"1426590199","1426590199","3",NULL,,,,,,,
"32","Bra Salong & Shop ",,,"0141-219898",,"Urban Hjärnes Väg 14",NULL,"Motala",,"59130","SE","58.5376886","15.0345921",,,"1426590528","1426590528","3",NULL,,,,,,,
"33","Cam & Co",,,,,"Ölandsgatan 4",NULL,"Kalmar",,"39231","SE","56.6636695","16.3683125",,,"1426590658","1426590658","3",NULL,,,,,,,
"34","Capelli Nostra",,,,,"Augustendalsvägen 20",NULL,"Nacka Strand",,"13152","SE","59.3168254","18.161078",,,"1426590821","1426590821","3",NULL,,,,,,,
"35","Carlsbo Hår",,,"08-6517500",,"Bergsgatan 17",NULL,"Stockholm",,"11228","SE","59.3298349","18.0433456",,,"1426590997","1426590997","3",NULL,,,,,,,
"37","Carpe Diem",,,,,"Storgatan 33",NULL,"Växjö",,"35230","SE","56.8790589","14.7999368",,,"1426591167","1426692780","3",NULL,,,,,,,
"38","Chop Shop",,,,,"Flemminggatan 33",NULL,"Stockholm",,"11226","SE","59.3330897","18.042175",,,"1426591304","1426591304","3",NULL,,,,,,,
"39","Claque La Mouche",,,"08-208047",,"Pelikansgränd 1",NULL,"Stockholm",,"11130","SE","59.3239316","18.0744765",,,"1426591445","1426692769","3",NULL,,,,,,,
"40","Clarissa Nails",,,,,"Själbodsgatan 6",NULL,"Malmö",,"21135","SE","55.6065155","13.0035455",,,"1426591596","1426591596","3",NULL,,,,,,,
"41","Clemma/ Cleo",,,,,"Holmsgatan 11",NULL,"Borås",,"50330","SE","57.7207056","12.9387055",,,"1426591725","1431963992","3",NULL,,,,,,,
"42","Cleo",,,,,"Holmgatan 11",NULL,"Borås",,"50330","SE","57.7207056","12.9387055",,,"1426591920","1426591920","3",NULL,,,,,,,
"43","Clipp Corner",,,"08-55248425",,"Centrumvägen 22",NULL,"Nykvarn",,"15530","SE","59.1776473","17.4319682",,,"1426592065","1426692757","3",NULL,,,,,,,
"44","Clipp-Er",,,"08-107278",,"Torsgatan 1",NULL,"Stockholm",,"11123","SE","59.3351721","18.0528752",,,"1426592184","1426592184","3",NULL,,,,,,,
"45","Clive Russel",,,"0910-12728",,"Nygatan 56",NULL,"Skellefteå",,"93130","SE","64.7501985","20.957013",,,"1426592319","1426592319","3",NULL,,,,,,,
"46","Cut & Blow ",,,"021-130730",,"Sturegatan 12",NULL,"Västerås",,"72213","SE","59.6106339","16.5476963",,,"1426592424","1426592424","3",NULL,,,,,,,
"47","Cut It",,,"033-101412",,"Stengärdsgatan 33",NULL,"Borås",,"50334","SE","57.7218405","12.9430827",,,"1426592527","1426592527","3",NULL,,,,,,,
